,coeffMax
16,0.5884961000758036
33,0.5907598346409297
341,0.591834963870626
115,0.5923059672655288
300,0.5943879521655246
54,0.5964378673025853
365,0.5995926931961844
1,0.6003608543766251
376,0.6028327828695444
283,0.603263064304708
209,0.6049274151401858
251,0.6055052979536356
104,0.6144858317863517
255,0.6150084042733706
182,0.6163135014643301
223,0.6163881608968087
281,0.618106033289909
151,0.6202282695141711
186,0.6243063059563532
326,0.6264644724610485
335,0.6286255319704099
107,0.6295838334968056
29,0.62987460203996
227,0.6331975861960345
269,0.6364258757432664
148,0.6410536618231966
279,0.6419010953374072
19,0.6423416121332576
53,0.6457713153340934
138,0.6458850573185698
206,0.6466944392801062
327,0.6466969950522801
26,0.6526110194536537
185,0.6565668822280543
243,0.6582465490978217
242,0.6595196649003139
43,0.6607844628375639
99,0.6608631664333182
234,0.6612388998190307
165,0.6612484859714276
122,0.6627184018139619
347,0.6636475811709674
117,0.6650689575796473
133,0.6659200679840142
232,0.6671862700696238
235,0.6678596716089678
239,0.6691098658819874
297,0.6738338002984461
96,0.6744022894560274
273,0.6756589245980649
78,0.6795082015615568
4,0.6813883833719817
166,0.6864213127882427
61,0.6881419733293138
94,0.6890340283138856
339,0.6892301428046836
109,0.6911132607112442
218,0.6913636579429242
40,0.6916899930808682
144,0.6930660341220336
294,0.6946670010919406
379,0.6958233520245494
324,0.6997812688795795
322,0.7002027850679002
349,0.7005638322992241
14,0.7015714853665896
91,0.7031712234453911
373,0.7033313943707511
170,0.7041043804685266
105,0.7062627114180947
72,0.7071605806953769
360,0.7094704356544675
383,0.712349292478888
343,0.7148001892970803
89,0.7156578674575859
171,0.7171563445888268
358,0.722712047687222
215,0.7253481359182206
116,0.7291303408449615
265,0.7293203333128698
287,0.7306602209183575
11,0.7308574592331407
301,0.7313166444565868
292,0.7326076053404112
179,0.7332407826977759
201,0.7353955768053994
195,0.7374927580981874
124,0.7398219433900178
141,0.7402651708893905
37,0.740645523079813
291,0.740723706362449
12,0.7438127189614354
252,0.7442268570129639
121,0.7479145624443619
34,0.7494059699431389
162,0.7515604524287299
364,0.75427005892722
52,0.7554800491475903
318,0.7581674003109924
288,0.7592171414991161
259,0.7593858744861601
340,0.7599128350701648
275,0.7621038697246343
169,0.7623099837458246
372,0.7623624961376217
132,0.763755113258827
183,0.764154577556872
200,0.7676121425062558
224,0.7683049650988356
81,0.7686093039053297
3,0.7761943473076287
325,0.7793359259284979
369,0.7831866171809448
305,0.7841124657977452
28,0.7915373565615752
82,0.7928967763875268
8,0.7938758393325026
112,0.7973734896398693
130,0.7987264122438218
48,0.8061805726501471
163,0.8086357368285505
83,0.8098955461431391
49,0.813086292503846
337,0.8161451276568855
247,0.8162872575770521
160,0.8195967158753371
125,0.8201110145271956
63,0.820474467225439
157,0.8209014801584225
290,0.8212690810078337
84,0.8242489950316696
284,0.8256548357516983
371,0.8272854786720286
98,0.8283372059111084
118,0.8292614253235172
2,0.8293126464236309
70,0.8303267563157646
158,0.8315832409086918
152,0.8346464548786147
266,0.8355892899158448
193,0.836496999104872
6,0.842924474735647
317,0.8447105480370841
274,0.8472426604167971
108,0.8474962700754856
346,0.8541843465216169
261,0.8651457251813796
333,0.8674039443708972
229,0.8702564282807812
30,0.8754158694753669
42,0.8761917195255402
38,0.8783480068557395
384,0.8786017822128757
370,0.8812535080145365
202,0.8831135397443347
86,0.8840768347941668
260,0.8859718729523283
64,0.9047159980639081
103,0.9119722935153596
355,0.9147387934843141
334,0.9149176996064894
74,0.9182745166905317
321,0.9196910502544549
356,0.9310945136663811
44,0.9327835692007147
270,0.9330007679609832
173,0.9337124851460228
226,0.9376976193240558
92,0.9411477593646066
367,0.9420167564936809
236,0.9459014322491033
233,0.9485023564872079
149,0.9524887279521609
154,0.9549939471991603
101,0.964230235170585
304,0.9686187915501393
88,0.9779845333916578
381,0.9836339592446934
191,0.9849972011914587
311,0.9874638861086421
302,0.9884595021830083
55,0.9901128735768678
135,0.9911178650815967
25,0.9912603041362622
375,0.9924985468937746
368,0.9926214904758313
315,0.9948853718828421
303,0.9952115978002084
217,0.9954072691218295
314,0.9956929653534581
22,0.995753776671203
95,0.995889744911766
175,0.9960170420467446
286,0.996103073933039
100,0.9961693149865072
47,0.996280149534676
15,0.996295579708272
65,0.9962956818415875
332,0.9963704060803121
134,0.9964700269942252
9,0.9964974232834244
348,0.9965509611348073
45,0.9966905735328697
57,0.9968850981328178
51,0.9969381777744257
139,0.996989413594851
110,0.9970388704911766
97,0.9970485180921331
56,0.9970487355648464
204,0.9970583767303477
93,0.9974057946282521
352,0.997478512554628
213,0.9975202123602364
250,0.9975338325763089
18,0.9975404071072798
237,0.9976679027590393
272,0.9977827796878839
23,0.9979726283658567
246,0.9979816602762734
17,0.9981207583526137
140,0.9981959908287048
350,0.9982384916895372
228,0.998345259636659
241,0.9983633257182624
268,0.9983925265807208
188,0.9984426111530874
176,0.998461241745346
244,0.9984845314615246
