,coeffDiff
164,0.059561838618917826
237,0.060739682136902035
298,0.06121945415507901
195,0.061402607761892186
363,0.06172159134704491
181,0.06269152186117145
203,0.0628395760913509
253,0.06414983674476682
374,0.06421260783030155
179,0.06455201004995985
353,0.06551765808802232
34,0.06584244654428201
233,0.06618614275628268
352,0.0672708579451074
193,0.06815525631664894
256,0.07015466514988827
39,0.07086867543497595
225,0.07095370071514326
176,0.07205373768960405
261,0.0722213315926804
364,0.0723258747888739
119,0.07262072537187006
80,0.07324566025324436
220,0.07363788876580625
294,0.07401572683800862
18,0.07482206914029702
48,0.07523406103172824
66,0.07542254616141558
308,0.07571390986810698
276,0.07664998820130398
218,0.07679436964908447
270,0.07726119779179721
380,0.07769979730029902
229,0.07849080850885852
42,0.07857856407536619
99,0.07864195105290823
151,0.07933067734558863
9,0.07934142123007774
206,0.07953023669622655
85,0.07966651781401247
226,0.07982700276638051
33,0.08004432479231514
185,0.08007052447760128
258,0.0804721471362733
35,0.0804967585360999
212,0.08076754239141885
187,0.08090548098578837
216,0.08209238241051503
219,0.08252220566501439
77,0.08267572233243296
102,0.08345316177316803
301,0.08361119958556543
240,0.08429446977982885
369,0.0843591060830231
217,0.08622474364153437
379,0.08669584704041639
153,0.08677061749354666
360,0.08684471545132863
183,0.08692146167567943
197,0.08811054929936432
14,0.08828304620431468
126,0.08856393652505806
242,0.08954015563551997
196,0.08994016342422159
150,0.09037934911588662
231,0.09121068584194038
24,0.09165108719551944
128,0.09214009423908798
313,0.09245080673625661
285,0.09401993122953875
214,0.09443152178399386
154,0.09448566656855761
250,0.09483710338283594
292,0.09549843596918833
252,0.09606676722726956
378,0.09718457983694138
243,0.09796892720321787
116,0.09797794878298605
311,0.09824883580226597
72,0.09947126274733017
382,0.1000662373594227
36,0.10042256055788963
189,0.10138176601284574
266,0.10230825109288742
331,0.10303887589202085
173,0.10355997046319489
307,0.10461587880379174
103,0.1055973563064289
127,0.10583379932364313
259,0.10727490606833838
268,0.10812063677200126
162,0.10851475206590391
171,0.10971270714667301
272,0.1097357654590164
200,0.11048467465221455
223,0.11433980573260408
139,0.11517392184689303
275,0.11523800532277412
204,0.11546003491477125
208,0.11550956624485635
52,0.11634937837870042
100,0.11711829311244164
366,0.11772109669562174
156,0.11775985553588045
137,0.11826418912526335
68,0.11893336655902462
131,0.11900748087332942
