,sentiDiff
12691,0.604
10886,0.604
13168,0.6038
13730,0.6038
12716,0.6038
12722,0.6038
3026,0.6032
11480,0.6027
12700,0.6027
3014,0.6025
11414,0.6024
12699,0.6024
12671,0.6023000000000001
12670,0.6022
10753,0.6021
12689,0.6021
12706,0.6016
11892,0.6016
13660,0.6
12721,0.6
12677,0.5998
13915,0.5987
12723,0.5987
12679,0.5979
12704,0.5971
12711,0.5971
11753,0.5971
12504,0.5971
13028,0.5961
12714,0.5961
12675,0.5958
12694,0.5946
3031,0.5946
11086,0.5946
12681,0.5925
12693,0.5921
11019,0.5921
12710,0.5914
12370,0.5914
11217,0.5856
12696,0.5856
13450,0.5832
12719,0.5832
12705,0.5818
11822,0.5818
3009,0.5767
12701,0.5744
11546,0.5744
11348,0.5729
12698,0.5729
12688,0.5698
10646,0.5698
3023,0.5693
12682,0.5690000000000001
13985,0.5676
12724,0.5676
12686,0.5661
10523,0.5661
12692,0.5614
10953,0.5614
12697,0.5592
11282,0.5592
12715,0.5539000000000001
13098,0.5539000000000001
12672,0.5537
3064,0.5479999999999999
3156,0.5479999999999999
10583,0.5423
12687,0.5423
3035,0.537
10401,0.5306
12684,0.5306
3008,0.5267999999999999
3007,0.526
11108,0.4968
11101,0.4968
11098,0.49670000000000003
11099,0.49670000000000003
12626,0.49660000000000004
9947,0.49660000000000004
11152,0.49660000000000004
11118,0.49660000000000004
11107,0.49660000000000004
9554,0.49650000000000005
11110,0.49650000000000005
11102,0.49650000000000005
9842,0.49640000000000006
11154,0.49640000000000006
12764,0.49640000000000006
11116,0.49640000000000006
11109,0.49640000000000006
11147,0.49629999999999996
11106,0.49629999999999996
12016,0.49629999999999996
11100,0.4962
11104,0.4962
11105,0.4961
11600,0.4959
11141,0.4959
11103,0.4959
11148,0.4958
12154,0.4958
11120,0.49570000000000003
10053,0.49570000000000003
11160,0.49560000000000004
9601,0.49560000000000004
11111,0.49560000000000004
13360,0.49560000000000004
11127,0.49540000000000006
11115,0.49540000000000006
13571,0.49540000000000006
9790,0.49540000000000006
10443,0.49540000000000006
11162,0.49540000000000006
13288,0.4952
11159,0.4952
11146,0.4949
11946,0.4949
11142,0.4937
11669,0.4937
11122,0.49360000000000004
10325,0.49360000000000004
11125,0.49360000000000004
10160,0.49360000000000004
11133,0.4931
10867,0.4931
11158,0.4929
13711,0.4929
