,coeffMax
15,0.21550985375488693
72,0.2156433217085384
246,0.21644130307902662
250,0.21646190490249256
34,0.21747312205017508
213,0.21748109385209743
221,0.21810085688975103
313,0.21815282543425069
103,0.21927399601330425
236,0.21972325204312257
344,0.22124154093321372
227,0.22138163815987863
304,0.2221750689814663
65,0.22255674702654019
51,0.2226837437637395
287,0.22309474269329627
205,0.2238691735114084
141,0.22410856996675596
303,0.22467965781608382
288,0.22510483240284473
329,0.2265386013455737
127,0.22845890914551667
316,0.22911216675839363
138,0.23073615174266587
128,0.23162303005873935
244,0.23253385900755452
233,0.2327421064562257
116,0.23433173509696725
375,0.23461532873105542
371,0.2354018851263804
274,0.23675076822585994
298,0.2368095367307505
115,0.2373253065512924
6,0.23760851985040707
232,0.23867610598725614
131,0.23874421245178598
149,0.240616801989231
133,0.24177434231795492
224,0.24219795875235148
97,0.2426088198847333
350,0.2438857637190583
140,0.24409374443104084
285,0.24409652052183473
238,0.24439351079141222
93,0.24479949154857805
337,0.2456267135231379
119,0.2463105465844108
162,0.2469302269942316
129,0.24746047834145593
204,0.2479465423263433
176,0.25010005968834
295,0.25034510239209073
356,0.25036869218460794
60,0.2508902883647653
137,0.2530610410835748
160,0.2533704555573039
352,0.2543467185473568
10,0.25620222037931367
109,0.2562395498759245
1,0.2563331338495649
156,0.2569949282896777
359,0.2574338845812133
330,0.25901985311600856
286,0.25911665096088177
89,0.2596622000596238
144,0.2608015363913375
157,0.26144570999356004
91,0.2621462062494046
92,0.26229591317375683
202,0.26636770512145486
73,0.2668331693783752
314,0.2671049979683541
114,0.2690486202236089
75,0.269194443851522
152,0.2692514269969771
368,0.2731135539833028
169,0.27399256049876275
53,0.2748000066473108
340,0.2754129268597997
25,0.27622745380480557
2,0.2779477247078361
158,0.27843093489252363
130,0.2788525791556059
96,0.2789589578275552
260,0.27929140561775395
21,0.28244216538036815
170,0.28483413778932554
122,0.28613424984364244
354,0.2863130983935554
334,0.28641404445683455
13,0.28704595827941126
29,0.28747351453643116
4,0.28905779158319733
284,0.28966474158794175
142,0.2901355918313284
19,0.2921075662193977
123,0.29294424626005644
41,0.2949532423891664
38,0.29569543422645905
310,0.3013117317144391
367,0.30159822717564766
108,0.30258411957066705
332,0.30559430156324485
125,0.3074883926984238
12,0.31188967751060126
22,0.31221008197544614
117,0.31465881281245023
228,0.3146847609053155
155,0.31636133572388236
241,0.31747034685294356
5,0.3208368193569448
365,0.32270811940953276
317,0.3242435911454165
27,0.32586583513588135
163,0.32741923204110823
328,0.3276769489966466
210,0.32869626539925534
180,0.3300886860724829
40,0.33050092774728057
143,0.33690902476191353
136,0.3426569740516199
306,0.3428475907184349
124,0.34537330177651915
95,0.350122503189628
112,0.35044929053251644
147,0.35430891216722515
81,0.35857638993527624
30,0.36509305715134144
8,0.36925530956315167
300,0.3731560812109807
94,0.3731899211448701
121,0.38747286667059916
145,0.3887064666873482
23,0.3927620004703796
16,0.4042866411053952
55,0.4081570419733608
70,0.40983575895264734
339,0.40984928783865177
338,0.4120047165087303
49,0.41485982324063464
333,0.4281525182240235
135,0.45453138778758584
347,0.4569025954289932
336,0.45735357162984996
11,0.46079729189596697
312,0.4688740573399996
26,0.47095508737920505
345,0.4858343263027228
7,0.49922421065648853
361,0.5039808088524579
