Topic_Coeff_Diff,Percentile
0.07163445823993457,0.1890410016848167
0.06778335807077679,0.17887807379433532
0.06696310839257247,0.17671346161453733
0.06485907864531115,0.17116099565374646
0.06455407285017553,0.1703560952964493
0.0624254325549709,0.16473868290136515
0.061019786003600834,0.1610292274435493
0.06099264855827642,0.16095761260938513
0.06081222045288062,0.1604814687169881
0.059545682499749314,0.15713911631823282
0.0592173116685451,0.15627255639190515
0.05659909320638344,0.1493631631630359
0.05598094173871146,0.14773188157715095
0.050851823242311085,0.1341963049546267
0.05041011747674526,0.13303065782859072
0.04936641350387047,0.13027635704454876
0.046859561511056386,0.12366085630034175
0.046223237562732354,0.1219816181300145
0.046196822400353624,0.12191190937701442
0.04547638669769568,0.12001070302707878
0.04542330139701267,0.11987061264791736
0.045308384700243995,0.11956735122874534
