Senti_Diff,Percentile
0.41969999999999996,0.6450968336919765
0.41900000000000004,0.6440209037811251
0.41870000000000007,0.6435597909621887
0.4186000000000001,0.6434060866892101
0.4185,0.6432523824162311
0.41790000000000005,0.6423301567783585
0.4163,0.6398708884106977
0.4161,0.6395634798647402
0.41570000000000007,0.6389486627728251
0.41500000000000004,0.6378727328619735
0.4142,0.6366430986781432
0.4134,0.6354134644943129
0.4134,0.6354134644943129
0.4124,0.633876421764525
0.41090000000000004,0.6315708576698432
0.40880000000000005,0.6283430679372887
0.4084,0.6277282508453734
0.40770000000000006,0.6266523209345221
0.40190000000000003,0.6177374731017522
0.3995000000000001,0.6140485705502614
0.3981,0.6118967107285582
0.39070000000000005,0.6005225945281278
0.3892,0.598217030433446
0.3861,0.5934521979711035
